"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","28/1439","99/9380",0.282828282828283,1.84359228139631,3.59189700647825,0.000690836346988496,0.00764608837581215,0.00521877714108216,"5581/5579/115/51393/801/5734/2776/8605/196883/5295/5583/3708/5567/255189/808/818/3553/5600/5601/5602/2150/3556/817/5330/5336/111/5578/5321",28
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","14/1439","37/9380",0.378378378378378,2.46642751159777,3.80442786823057,0.000705114778172878,0.00764608837581215,0.00521877714108216,"5579/2776/335/6401/3553/3569/3910/3043/2150/3040/5330/3039/3383/5578",14
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","23/1439","76/9380",0.302631578947368,1.97267839508431,3.62420104870368,0.000729775911420456,0.00767370428069389,0.00523762615852002,"1029/5579/801/1869/53358/1019/5155/5295/808/10000/5594/4616/818/578/5604/7157/1026/817/5336/57118/5159/5578/57172",23
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","35/1439","134/9380",0.261194029850746,1.70257123002085,3.48687904989387,0.000809809843069697,0.00817980564763881,0.00558306164331482,"5581/10266/10268/5579/115/801/135/2776/10203/8605/196883/4660/5739/5583/54776/4628/3708/1907/5567/255189/808/5594/4629/4638/79924/5604/1909/3778/1906/5330/111/5319/5578/5321/27345",35
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","51/1439","216/9380",0.236111111111111,1.53907034205853,3.411935724787,0.000825052442845413,0.00817980564763881,0.00558306164331482,"177/3329/801/5532/3949/2920/335/5295/6401/6403/3717/9619/3708/5530/4973/808/10000/5594/6416/7099/948/818/3553/5600/2921/839/5601/3569/3665/5534/9641/4688/2353/5602/2919/7157/4792/1536/653361/817/5468/5330/834/3383/4312/25833/5578/7097/4689/4318/3306",51
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","34/1439","130/9380",0.261538461538462,1.7048163788956,3.4446719179503,0.00093136681946483,0.00877429781596958,0.00598882757043275,"115/5590/148327/196883/53358/5295/7048/1910/5567/10000/408/5594/6416/1277/5600/5601/54331/2770/5604/2793/2353/2775/2788/2791/1906/5602/1285/4792/5330/111/4312/5578/1286/4318",34
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","54/1439","233/9380",0.23175965665236,1.51070575357828,3.36031846547842,0.000938041791004911,0.00877429781596958,0.00598882757043275,"6711/4001/477/27063/1674/288/6709/7138/7137/23345/1832/6442/25802/23500/8516/64236/29767/25777/5318/4628/3908/7134/131873/2274/4629/2273/83660/10529/1277/171024/3691/7059/2026/2027/1634/375790/8572/3728/9260/1285/1829/7136/2192/22801/1301/1824/7057/3696/482/825/1286/3676/1311/478",54
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","14/1439","38/9380",0.368421052631579,2.40152152445046,3.68504423721097,0.000960874112411654,0.00877429781596958,0.00598882757043275,"5579/477/5295/4306/5594/3291/6446/23327/5578/482/6338/53828/6340/478",14
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","26/1439","93/9380",0.279569892473118,1.82235273898391,3.39260237393307,0.00127283166332109,0.0113249381326261,0.00772974694324548,"2185/5579/115/801/2776/8605/1839/196883/4215/3708/5567/255189/808/5594/6416/818/5600/5601/5604/5602/817/5330/111/5578/1958/5321",26
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","27/1439","98/9380",0.275510204081633,1.79589000297826,3.37144727552321,0.0013172916457686,0.0114275050270426,0.00779975316573514,"5581/5138/5579/115/477/3777/801/2776/3949/148327/196883/3708/5567/808/818/3762/3164/817/5330/111/57118/4929/747/5578/482/57172/478",27
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","22/1439","75/9380",0.293333333333333,1.91206856613389,3.37575561067678,0.00148819552146878,0.01259521575487,0.00859676488653341,"5579/7849/115/477/53905/2776/148327/196883/9601/3708/5567/2882/8458/493869/5330/111/2878/2877/5578/482/4036/478",22
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","38/1439","154/9380",0.246753246753247,1.6084402046876,3.24072818261718,0.00156866817805872,0.0129601870901518,0.00884587318454166,"5579/115/4208/801/9254/2776/5532/8605/196883/4660/54776/3708/10645/5530/5567/255189/808/5594/4638/818/3762/23533/2770/5534/5604/2353/2775/782/1026/817/5330/111/57118/5578/55799/5321/5021/57172",38
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","46/1439","196/9380",0.23469387755102,1.52983222475926,3.19096127643296,0.00165325555437405,0.0133413878457627,0.00910605874502231,"801/5532/2920/1869/1019/5155/5295/3717/3708/6233/5530/57580/808/10000/5594/6416/3133/3055/578/3572/5600/2921/5601/23533/7538/54331/3569/3665/5534/5604/9641/2793/2353/2788/2791/5602/2919/7157/4792/1026/5336/51176/3383/1230/2247/440738",46
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","40/1439","166/9380",0.240963855421687,1.57070254611218,3.15799048427374,0.00193010844880025,0.0152215370848565,0.010389339736365,"153/5581/5138/154/4205/115/477/4208/801/8654/2776/5532/148327/196883/1910/3708/5530/808/10000/6546/5594/4638/7417/291/23533/2770/5140/5534/5604/1909/3778/152/5330/111/482/7225/3764/27345/5350/478",40
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","32/1439","126/9380",0.253968253968254,1.65547062002934,3.15315138529441,0.00217459550341645,0.016474414787196,0.0112444815019539,"10235/7450/115/5590/2776/8605/196883/5739/5295/3708/5567/255189/10000/5594/4638/83660/1277/64805/5584/5600/23533/2770/695/5742/83706/10125/6916/5330/5336/111/2244/5321",32
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","30/1439","116/9380",0.258620689655172,1.68579712923246,3.16370842557783,0.00218392818504616,0.016474414787196,0.0112444815019539,"85358/5579/115/2776/5532/8605/196883/6505/2890/3708/5530/5567/255189/5594/1742/54331/2770/5534/2752/9456/2793/9455/2775/2788/2791/5330/111/5578/6507/5321",30
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","14/1439","41/9380",0.341463414634146,2.22580043729555,3.34836334880335,0.00223489689359985,0.01650019621445,0.0112620784111975,"1029/23604/1839/1869/1019/5594/5604/2261/7157/1026/1612/4312/7057/4318",14
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","22/1439","78/9380",0.282051282051282,1.83852746743643,3.16553772751193,0.00258097669632373,0.018658310700507,0.0127350823831763,"5579/3717/5594/7099/3553/5600/4688/2353/1917/2215/4792/1536/65108/3684/653361/7097/4689/3676/3122/3127/2214/3118",22
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","25/1439","93/9380",0.268817204301075,1.75226224902299,3.1034452381213,0.0028182344928103,0.0199577014082688,0.0136219712327028,"153/154/5579/115/477/6844/1469/801/2776/196883/3708/5567/808/3783/3778/362/1470/5330/111/1755/5578/482/4069/727897/478",25
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","18/1439","60/9380",0.3,1.95552466990966,3.1606808135998,0.00295825888462996,0.0205303166593319,0.014012805242984,"5579/3315/5532/8605/5295/5530/255189/10000/5594/5600/5534/5604/3791/5336/5881/5578/5321/5880",18
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","24/1439","89/9380",0.269662921348315,1.75777498418846,3.05756081787031,0.00324051348061878,0.0220481995642101,0.0150488242133999,"7450/3161/8516/3908/131873/1277/255743/948/3691/7059/3910/375790/3911/6696/10319/1285/22801/7057/3696/1286/960/3676/9900/1311",24
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","46/1439","203/9380",0.226600985221675,1.47707938942273,2.92522566246284,0.00344746782582757,0.0230052179915801,0.015702029571077,"5923/7450/857/5579/8395/858/2013/53358/4660/5155/8516/5295/54776/3908/131873/2324/10000/5594/4638/83660/1277/23396/3691/7059/5601/3910/5604/3911/2321/6696/10319/2012/5602/3791/1285/5881/22801/5159/5578/7057/3696/1286/5228/3676/5880/1311",46
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/1439","75/9380",0.28,1.82515635858235,3.05407543971982,0.00351577842870631,0.0230183983917187,0.0157110257489359,"891/9133/983/1029/6241/898/51512/27244/1111/11200/1019/3486/1017/4616/64393/7157/1026/5366/7057/64065/5268",21
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","29/1439","115/9380",0.252173913043478,1.64377436021392,2.9568612862171,0.00382104755681426,0.0237525913359966,0.0162121433356567,"5579/6532/2776/8605/3359/3708/5567/255189/5594/240/3762/54331/2770/5604/5742/2793/2775/246/2788/2791/1843/247/5330/111/5578/2562/5321/4128/4129",29
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","29/1439","115/9380",0.252173913043478,1.64377436021392,2.9568612862171,0.00382104755681426,0.0237525913359966,0.0162121433356567,"4205/5579/115/4208/5745/2776/1839/148327/196883/3708/5567/408/11214/5594/5141/2770/5604/1591/2353/6446/1026/5330/5142/111/4929/5578/1958/10568/4326",29
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","25/1439","95/9380",0.263157894736842,1.71537251746461,2.98314365313055,0.00383327122425306,0.0237525913359966,0.0162121433356567,"7010/525/535/9114/526/2920/284/523/7099/8741/3553/3683/2921/3569/2353/2321/2919/54/3383/4312/7097/6387/3122/3127/3118",25
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","23/1439","86/9380",0.267441860465116,1.74329718635357,2.94768755103853,0.00436557898425053,0.0264337222007677,0.0180421279999173,"5579/115/477/6844/2776/6513/148327/196883/11069/5567/818/3783/3778/817/5330/5864/111/5578/482/6804/27345/6616/478",23
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","24/1439","91/9380",0.263736263736264,1.71914256695355,2.93442002403785,0.00441831667909085,0.0264337222007677,0.0180421279999173,"5138/5579/115/5153/2869/196883/5567/408/5141/3762/54331/2770/5140/5136/2793/2775/2788/2791/2564/5142/111/5578/2562/9568",24
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","9/1439","23/9380",0.391304347826087,2.55068435205608,3.16949502636625,0.00487668699453323,0.0283372679184884,0.0193413780726828,"762/1468/477/5105/358/482/8671/760/478",9
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","30/1439","122/9380",0.245901639344262,1.60288907369644,2.8531841785847,0.00489981577841298,0.0283372679184884,0.0193413780726828,"5579/115/6777/2776/148327/196883/53358/3486/6751/5295/3717/3708/5567/10000/5594/6416/5600/8651/5601/2770/5604/2353/9021/5602/112609/5330/5336/111/5578/8835",30
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","36/1439","154/9380",0.233766233766234,1.52378545707246,2.78983255758271,0.00535929213920993,0.0304864651197679,0.0208082956224717,"153/154/115/477/801/9254/2776/6332/7137/148327/196883/11069/5526/5567/7134/808/10000/6546/5594/818/5600/23533/2770/6324/186/6330/5521/782/817/5330/111/5578/482/55799/5350/478",36
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","23/1439","88/9380",0.261363636363636,1.70367679575463,2.82313101026155,0.00592017288931777,0.0331338708482785,0.0226152614617402,"7450/2157/7056/5104/2/629/1675/1361/730/728/3687/11326/3684/2159/712/5627/5327/5328/3053/713/2244/5265/725",23
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","19/1439","69/9380",0.27536231884058,1.79492602552094,2.82113692131565,0.0065133411023891,0.0358750692464923,0.0244862447458237,"8605/5295/255189/10000/5594/6416/240/2206/5600/5601/5604/695/5602/241/5336/5881/5578/5321/5880",19
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","25/1439","99/9380",0.252525252525253,1.64606453696099,2.75085171768156,0.00679515430586847,0.0359568273273793,0.0245420480772345,"6403/629/1675/6404/1672/3858/25984/3683/2358/728/2215/3875/5724/3684/712/3872/3383/713/3868/3880/3122/3127/2214/3118/2357",25
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","25/1439","99/9380",0.252525252525253,1.64606453696099,2.75085171768156,0.00679515430586847,0.0359568273273793,0.0245420480772345,"5579/1978/8395/8605/5155/5295/6009/10810/255189/10434/10000/5594/23396/8525/5601/5604/2353/5602/204962/5881/5159/5578/5321/5880/8936",25
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","24/1439","94/9380",0.25531914893617,1.66427631481673,2.75530335927144,0.006839050730856,0.0359568273273793,0.0245420480772345,"2920/9618/1440/5594/53342/2354/3934/3553/5600/2921/5601/3569/9641/2353/225689/5602/2919/4792/1051/7128/4312/4318/3627/727897",24
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","20/1439","76/9380",0.263157894736842,1.71537251746461,2.66547899193786,0.00912112024474867,0.0472392347004148,0.0322427659869356,"5579/115/477/801/2776/196883/3708/5567/808/4638/818/2770/817/5330/111/5578/3772/482/760/478",20
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","31/1439","133/9380",0.233082706766917,1.51932994404009,2.56767364146132,0.00971531293798602,0.0495766704335463,0.0338381642576913,"891/5347/9133/1901/847/5295/7048/3575/8698/10733/4303/10000/1017/6502/5594/5105/4616/5600/5601/3569/9456/5604/51701/23710/9455/1032/10365/5602/114907/6446/1026",31
