"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048562","GO:0048562","embryonic organ morphogenesis","74/2655","308/18860",0.24025974025974,1.70670384229706,5.06156150228089,1.83305952431994e-06,7.23649868263376e-05,5.28348836409751e-05,"FOXF1/ATP6V1B1/PAX8/INSIG1/PPP1R35/NDST1/MEF2C/HOXC4/HOXD4/NDRG4/CTHRC1/ENG/SIX4/TFAP2A/RBP4/STIL/HOXD3/HOXB7/ITGA8/STRA6/HOXB8/EPHB2/TGFBR2/TBX3/SCRIB/FOXF2/TCF21/NR4A3/VAX2/HOXB2/MFAP2/WNT3A/MAPK1/SIX1/SOX17/HLX/MICAL2/GATA2/SMO/HOXD9/HES1/RPL38/LHX1/OVOL2/EDNRA/RARG/EDN1/TBX15/VANGL2/HOXB3/REST/CHD7/RNF207/SIX2/TWIST1/ZEB1/HOXB4/MYCN/COL11A1/EFEMP1/OSR1/BMP7/MDFI/MFAP5/FZD2/HOXA5/MESP1/WNT11/HYAL1/MSX1/OSR2/SOBP/HPN/HOXB6",74
"GO:0045926","GO:0045926","negative regulation of growth","59/2655","229/18860",0.25764192139738,1.83017952450267,5.11609677956326,1.91324919555468e-06,7.50526488230879e-05,5.47971904842742e-05,"ADRB1/SEMA3G/SLIT2/ADRB2/CDKN2A/WWC2/BMPR2/SLC6A4/TMPRSS4/SESN1/TSPYL2/SMARCA2/MIR25/ACVRL1/WFDC1/ULK2/RBP4/WT1/SEMA5A/DACT3/MT3/DNAJB2/WNT3A/SOX17/RTN4/FHL1/WWC3/PLXNA3/MAPK11/SCGB3A1/SLIT3/DAB2/AGTR2/FBP1/CDKN2D/SPP1/MT1F/TBX5/FGF13/FGFR3/TP53/CDKN2C/ALOX15B/CDKN1A/DCBLD2/MAG/MT1H/RGS4/MAP2/HYAL1/MSX1/SFRP1/SOCS2/GPC3/PI16/MT1G/MT1M/MEG3/PTK6",59
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","22/2655","55/18860",0.4,2.84143126177024,5.53563266015497,2.00598925207585e-06,7.77070086522884e-05,5.6735182859698e-05,"CCNB1/BIRC5/AURKB/KIF2C/CDCA8/CDK1/NUF2/ECT2/CDT1/NEK2/NDC80/SPC25/RACGAP1/SPC24/SPAG5/SKA3/KNTC1/RCC2/SKA1/APC/ZWILCH/KAT2B",22
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","22/2655","55/18860",0.4,2.84143126177024,5.53563266015497,2.00598925207585e-06,7.77070086522884e-05,5.6735182859698e-05,"MDK/PAX8/SIX4/HOXB7/LGR4/LRRK2/ESR1/SIX1/RTN4/SMO/PHB2/LHX1/NTN4/AGTR2/SULF1/WNT2/SIX2/BMP7/FGF7/FGF2/SFRP1/GREM1",22
"GO:0001935","GO:0001935","endothelial cell proliferation","54/2655","204/18860",0.264705882352941,1.88035892323031,5.11720320252212,2.12907929265706e-06,8.1962940719804e-05,5.98425098341464e-05,"MDK/TEK/TIE1/CAV1/CDH13/PPP1R16B/BMPR2/MEF2C/TNFSF12/CD34/ZEB2/ACVRL1/CAV2/APOA1/ENG/MMRN2/PDGFB/PTPRM/SEMA5A/MIR492/FLT4/AKT3/IGF2/ALOX5/VSTM4/GATA2/HMGB2/FUT2/DLL4/VASH1/NR4A1/FLT1/ATOH8/KDR/LIPA/COL4A3/EGFL7/LOXL2/EGR3/PPARG/PRKX/SULF1/BMP6/ZNF580/PRKCA/THBS1/CXCL12/FGF7/FGF2/ITGA4/SCG2/CCL24/FGFBP1/APOH",54
"GO:0071674","GO:0071674","mononuclear cell migration","60/2655","235/18860",0.25531914893617,1.81367952878952,5.08049765807039,2.16114449386341e-06,8.23787516696303e-05,6.01461003426811e-05,"MDK/AGER/S1PR1/SLIT2/PTK2B/PECAM1/SIRPA/SPN/CCL23/PDGFB/SFTPD/CX3CL1/EDNRB/EDN2/MAPK1/CD69/CTSG/RTN4/ALOX5/ARTN/STK10/S100A12/ITGAL/NEDD9/P2RY12/FPR2/CD99L2/JAM3/IL34/LRCH1/IL6/GNAI1/SPI1/ANO6/C5AR1/DOCK8/FLT1/MSN/MMP28/SPNS2/CH25H/DUSP1/CMKLR1/CX3CR1/ADAM8/JAM2/ICAM1/THBS1/CCR1/CXCL10/CXCL12/ADTRP/ITGA4/APOD/CCL21/CCR2/BMP5/GREM1/PADI2/CXCL13",60
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","78/2655","331/18860",0.235649546827795,1.67395497294622,5.00709652580974,2.16646281415775e-06,8.23787516696303e-05,6.01461003426811e-05,"TEK/AGER/CDK1/PTK2B/RAPGEF2/IQGAP3/RAMP3/SIRPA/PRKCZ/FLCN/HMGCR/KLF4/ADORA2A/PTGER4/NDRG4/DUSP3/DUSP7/ANGPT1/PDGFB/FAM83D/PTPN1/CX3CL1/EPHB2/FGFR4/FBXW7/MARCO/MT3/FLT4/ARRB1/P2RY6/GLIPR2/MAPK1/TLR4/PHB2/NPNT/CD36/IL1B/FPR2/BMP2/ATF3/FGF18/NDRG2/MAP2K1/DAB2/C5AR1/TPBG/FGF1/ALOX15/EDN1/KDR/PTPRC/DDR2/FGFR3/SCIMP/DUSP1/CHI3L1/DUSP4/F2RL1/RASGRP1/C1QL4/SPRY4/SEMA6A/CD4/FBLN1/CTSH/ICAM1/EPHA4/PDGFRB/PRKCA/CCR1/TNFAIP8L3/ROS1/LMO3/CD44/FGF2/FGB/CEACAM1/CCL21",78
"GO:0031401","GO:0031401","positive regulation of protein modification process","86/2655","375/18860",0.229333333333333,1.62908725674827,4.98062529138516,2.18755011301699e-06,8.26733878078007e-05,6.03612191005138e-05,"UBE2C/TPX2/CDC20/PLK1/SASH1/WFS1/CDKN2A/EZH2/ECT2/CAV1/PTK2B/RAPGEF2/CASS4/TOLLIP/UBE2S/MYCBP2/FANCI/ENPP2/HMGA2/AIMP2/ANGPT1/PDGFB/PPIA/PINK1/LIMCH1/PROM2/JAK2/TRAF4/FBXW7/PRICKLE1/PIAS3/RPS2/LRRK2/MT3/FLT4/ARRB1/DNAJB2/SKP2/MAPK1/S100A12/HES1/NEDD9/CDK2AP1/MAD2L2/TBC1D7/BMP2/IL34/MAPK9/PIK3R5/IL6/LILRA5/RASSF5/FGF18/MAP2K1/MTA1/RASD2/PILRB/FLT1/FGF1/MAP3K10/KDR/PTPRC/DDR2/FGFR3/DOK7/TRIB3/RASSF2/CCDC88A/CHI3L1/FAM107A/RASGRP1/CDKN1A/CD4/PDGFRB/TPD52L1/MMP9/BANK1/TNFRSF18/CLIP3/FGF7/LAPTM5/FGF2/ARRDC4/EGR1/SEMA4D/RSPO1",86
"GO:1990138","GO:1990138","neuron projection extension","48/2655","174/18860",0.275862068965517,1.9596077667381,5.14727393187382,2.21025634556459e-06,8.30252656352082e-05,6.06181309702213e-05,"SEMA3G/SLIT2/AURKA/MACF1/BMPR2/PRKCZ/TRPV2/PAFAH1B1/PPP3CB/ULK2/SEMA5A/SEMA5B/PRICKLE1/EDN2/MT3/SLC9A6/CLASP2/CYFIP2/WNT3A/RTN4/CPNE5/PLXNA3/FLRT3/RUFY3/CPNE1/SLIT3/EDNRA/EDN1/TNFRSF12A/S100B/NLGN3/OLFM1/NRN1/NEDD4L/GDI1/NDN/MAG/RNF157/SEMA3A/MAP1B/CXCL12/MAP2/DCLK1/ITGA4/LHX2/WASF1/NTRK3/NRCAM",48
"GO:0001657","GO:0001657","ureteric bud development","32/2655","98/18860",0.326530612244898,2.31953572389408,5.30104754858844,2.28745835152177e-06,8.52022306588955e-05,6.22075694371006e-05,"SLIT2/PAX8/SIX4/CAT/HOXB7/WT1/SMAD7/LGR4/TCF21/SIX1/SMO/NPNT/HES1/WNT6/BMP2/ROBO2/LHX1/EPCAM/AGTR2/LAMA5/FGF1/SIX2/DCHS1/OSR1/BMP7/WNT11/FGF2/SFRP1/BASP1/FOXJ1/GPC3/GREM1",32
